# Accelerometer Data File
# Started @Fri Jul 20 17:04:29 GMT+08:00 2018
#
#
# sensor Vendor: STM
# sensor Name: K2HH Acceleration 
# sensor Resolution: 0.038307227m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.057 0.023 -0.004 10
-0.013 0.052 -0.053 11
0.014 0.057 -0.058 9
0.032 0.02 -0.057 10
0.046 -0.018 -0.003 12
0.038 -0.042 -0.012 10
0.026 -0.05 -0.05 8
0.05 -0.042 -0.096 10
0.045 -0.015 -0.11 10
0.045 0.008 -0.082 9
0.048 0.017 -0.026 11
0.059 -0.02 -0.001 10
0.074 -0.041 0.028 10
0.076 -0.07 0.047 10
0.053 -0.118 0.024 10
0.041 -0.117 -0.004 10
0.01 -0.126 -0.005 10
0.017 -0.122 -0.036 10
0.058 -0.099 -0.094 10
0.077 -0.101 -0.111 10
0.053 -0.075 -0.095 10
0.015 -0.034 -0.052 10
-0.026 0.011 -0.007 10
-0.034 0.057 -0.008 10
-0.073 0.082 -0.036 13
-0.134 0.091 -0.037 7
-0.229 0.13 -0.003 11
-0.306 0.201 0.059 9
-0.343 0.284 0.127 10
-0.305 0.504 -0.08 10
-0.184 0.752 0.091 10
-0.206 0.627 0.058 10
-0.183 0.131 0.03 11
-0.133 -0.004 0.029 9
-0.084 -0.212 0.048 11
-0.077 -0.216 0.075 9
-0.111 -0.179 0.119 10
-0.144 -0.152 0.164 10
-0.131 -0.048 0.244 10
-0.071 0.056 0.289 11
-0.022 0.029 0.257 9
0.028 -0.08 0.217 10
0.054 -0.201 0.191 11
0.06 -0.316 0.163 9
0.068 -0.339 0.12 11
0.121 -0.244 0.034 11
0.152 -0.139 -0.028 8
0.183 -0.027 -0.074 10
0.19 0.005 -0.166 10
0.233 -0.023 -0.306 13
0.213 -0.059 -0.288 7
0.113 -0.188 -0.165 10
0.042 -0.23 -0.086 10
-0.022 -0.219 -0.014 10
-0.024 -0.158 -0.01 10
-0.006 -0.002 -0.037 12
0.005 0.099 -0.07 8
-0.003 0.206 -0.076 10
-0.044 0.242 -0.033 10
-0.068 0.227 -0.006 10
-0.067 0.14 -0.03 10

# Completed @Fri Jul 20 17:04:34 GMT+08:00 2018
